Uniprot,Gene,WD score,Root WD score,minus_log10_pvalue,log2_FoldChange
RL36L_HUMAN,RPL36AL,6.44,2.54,0.785929563,2.23963446
AMOT_HUMAN,AMOT,9.96,3.16,0.784141866,3.016094784
RRP12_HUMAN,RRP12,9.67,3.11,0.782640845,0.824566439
HDAC5_HUMAN,HDAC5,1.52,1.23,0.780458618,1.266546741
E41L5_HUMAN,EPB41L5,4.9,2.21,0.779795393,1.836023295
RL31_HUMAN,RPL31,3.19,1.79,0.773465062,1.190297817
TB10B_HUMAN,TBC1D10B,0,0,0.772951865,-1.744787864
RN5A_HUMAN,RNASEL,6.82,2.61,0.7712075,1.268250088
FMNL3_HUMAN,FMNL3,4.98,2.23,0.757549229,2.035049139
CYB5B_HUMAN,CYB5B,9.24,3.04,0.752570055,2.069920234
STK38_HUMAN,STK38,4.35,2.09,0.752044037,1.594091967
PALD_HUMAN,PALD1,6.74,2.6,0.746782957,2.250220869
DVL2_HUMAN,DVL2,4.83,2.2,0.736826029,1.463826114
MFF_HUMAN,MFF,4.07,2.02,0.735085801,1.903788741
TBR1_HUMAN,TBR1,0,0,0.733530601,1.049893757
ADPPT_HUMAN,AASDHPPT,0,0,0.732577016,0.822908246
PCBP1_HUMAN,PCBP1,1.69,1.3,0.730467193,-0.774438318
S12A2_HUMAN,SLC12A2,3.17,1.78,0.729776141,-1.107729354
RS24_HUMAN,RPS24,3.72,1.93,0.727737551,0.907100378
CISD1_HUMAN,CISD1,3.72,1.93,0.725583264,1.26125572
PLPL6_HUMAN,PNPLA6,6,2.45,0.724839569,2.133662686
EXOC4_HUMAN,EXOC4,6.88,2.62,0.723294384,1.730502842
OSBL6_HUMAN,OSBPL6,4.47,2.11,0.721721999,1.78643902
BPTF_HUMAN,BPTF,0,0,0.720629574,1.684923388
MYO5A_HUMAN,MYO5A,8.92,2.99,0.719802474,1.169439508
NU155_HUMAN,NUP155,4.36,2.09,0.71903779,2.158172823
RL34_HUMAN,RPL34,3.54,1.88,0.714562798,0.945006844
KIF14_HUMAN,KIF14,19.95,4.47,0.714335369,2.578726906
GHC1_HUMAN,SLC25A22,0,0,0.714245242,1.014976501
RAB1A_HUMAN,RAB1A,4.15,2.04,0.713171677,1.450468987
CE350_HUMAN,CEP350,1.11,1.05,0.71121976,-1.550917703
MIA3_HUMAN,MIA3,2.14,1.46,0.708623715,-1.824568287
H10_HUMAN,H1F0,12.2,3.49,0.705530425,2.059987074
ABCF2_HUMAN,ABCF2,3.54,1.88,0.701512995,1.94677516
UBN2_HUMAN,UBN2,0,0,0.700459571,0.902742674
XPF_HUMAN,ERCC4,0,0,0.696933327,1.815263832
TYK2_HUMAN,TYK2,9.5,3.08,0.69374365,1.909364352
IRAK1_HUMAN,IRAK1,5.15,2.27,0.688014661,1.621086157
AK17A_HUMAN,AKAP17A,5.08,2.25,0.687313747,2.089688847
GPAT1_HUMAN,GPAM,7.27,2.7,0.685206174,1.691605718
HUWE1_HUMAN,HUWE1,6.97,2.64,0.684891439,2.248689436
SC24B_HUMAN,SEC24B,4.49,2.12,0.680884838,1.555004648
ITB6_HUMAN,ITGB6,0,0,0.675099534,1.655792536
CBR1_HUMAN,CBR1,0,0,0.674810705,1.932953721
RUVB1_HUMAN,RUVBL1,3.59,1.9,0.668282244,1.828592792
SON_HUMAN,SON,8.46,2.91,0.667033722,1.018169031
ALMS1_HUMAN,ALMS1,9.28,3.05,0.667032125,2.109634052
TM135_HUMAN,TMEM135,1.55,1.25,0.661213393,-1.383327664
SRP68_HUMAN,SRP68,1.33,1.15,0.654085225,-1.842844345
NO40_HUMAN,ZCCHC17,2.3,1.52,0.644164865,1.584057874
BAG3_HUMAN,BAG3,0,0,0.634599843,0.73014546
PRAF3_HUMAN,ARL6IP5,0,0,0.632799989,-1.350126374
HCFC1_HUMAN,HCFC1,6.31,2.51,0.632411029,2.020731872
TTF1_HUMAN,TTF1,6.84,2.61,0.631928365,1.901276462
FAF2_HUMAN,FAF2,2.49,1.58,0.629937414,1.371946131
NAV1_HUMAN,NAV1,1.94,1.39,0.629175783,1.120480399
CALD1_HUMAN,CALD1,5.47,2.34,0.629138149,1.615034091
OSBL3_HUMAN,OSBPL3,4.19,2.05,0.629055325,1.621172719
PRDX6_HUMAN,PRDX6,0,0,0.626073328,0.841317891
ITSN2_HUMAN,ITSN2,0,0,0.624688117,1.117412747
CRBG3_HUMAN,CRYBG3,11.16,3.34,0.623812824,2.414300055
RAP2C_HUMAN,RAP2C,0,0,0.622761562,1.187250209
WDR6_HUMAN,WDR6,1.87,1.37,0.618599169,1.411088776
ACACA_HUMAN,ACACA,27.3,5.22,0.617827862,0.827116612
EXOC2_HUMAN,EXOC2,0,0,0.614701462,-1.376900559
P3C2A_HUMAN,PIK3C2A,2.32,1.52,0.614584209,-1.976523333
PUR6_HUMAN,PAICS,0,0,0.612613261,0.904736897
SPG20_HUMAN,SPART,4.14,2.03,0.610125536,1.564818796
WWOX_HUMAN,WWOX,4.62,2.15,0.608667193,1.381393816
CPT1A_HUMAN,CPT1A,4.38,2.09,0.607661178,1.647621263
NSMA3_HUMAN,SMPD4,0,0,0.606564007,0.993595219
EBP2_HUMAN,EBNA1BP2,0,0,0.606479401,1.428260323
RHG17_HUMAN,ARHGAP17,0,0,0.604645605,0.742604837
CDCA3_HUMAN,CDCA3,0,0,0.603669742,1.032054253
ARM10_HUMAN,ARMC10,3.49,1.87,0.600215736,1.410181465
TOP1_HUMAN,TOP1,3.96,1.99,0.595106117,1.580503812
4F2_HUMAN,SLC3A2,6.21,2.49,0.593095629,0.804093667
ATD3A_HUMAN,ATAD3A,2.5,1.58,0.593047149,-1.293363343
AOFA_HUMAN,MAOA,9.33,3.05,0.592246253,2.727301052
MARC2_HUMAN,Mar-02,4.48,2.12,0.591283805,1.155291911
PEX13_HUMAN,PEX13,0,0,0.589859243,-1.179715055
SYTM_HUMAN,TARS2,2.23,1.49,0.588697187,1.413214282
RAB7L_HUMAN,RAB29,3.86,1.96,0.584418394,1.403055335
NP1L1_HUMAN,NAP1L1,0,0,0.583506896,-1.439114121
TCOF_HUMAN,TCOF1,7.04,2.65,0.583290331,-0.750096099
MARC1_HUMAN,Mar-01,4.44,2.11,0.582895268,-1.246741001
GOGA5_HUMAN,GOLGA5,5.19,2.28,0.581138636,1.882359811
RHG01_HUMAN,ARHGAP1,10.79,3.28,0.581038678,2.287836519
LRC57_HUMAN,LRRC57,1.42,1.19,0.57987757,1.184225994
EAA1_HUMAN,SLC1A3,0,0,0.579507439,0.894624758
DYST_HUMAN,DST,10.33,3.21,0.577119215,2.227156585
BRD7_HUMAN,BRD7,0,0,0.57494789,0.711624074
AT2B1_HUMAN,ATP2B1,4.64,2.15,0.574728161,1.725469661
ANKH1_HUMAN,ANKHD1,7.26,2.69,0.571777017,2.477832638
SMC1A_HUMAN,SMC1A,4.26,2.06,0.570334301,1.725963329
MKL2_HUMAN,MRTFB,4.74,2.18,0.568695152,1.75166809
CHERP_HUMAN,CHERP,2.28,1.51,0.568180155,1.188417303
RTN4_HUMAN,RTN4,0.71,0.84,0.566669802,-1.873132214
CEP78_HUMAN,CEP78,6.05,2.46,0.566657524,1.721832059
MIC60_HUMAN,IMMT,8.8,2.97,0.564324735,1.443743184
C1TM_HUMAN,MTHFD1L,0,0,0.563473559,-1.259334456
PDLI5_HUMAN,PDLIM5,3.26,1.81,0.560305114,1.480292974
UNC5B_HUMAN,UNC5B,3.21,1.79,0.559033737,1.460908458
PAPOA_HUMAN,PAPOLA,1.32,1.15,0.558810096,-0.973555499
COPB2_HUMAN,COPB2,0,0,0.554852846,-0.839338998
TOM22_HUMAN,TOMM22,0,0,0.549766487,-1.354718502
RL7_HUMAN,RPL7,2.79,1.67,0.548928228,0.907888125
CSDE1_HUMAN,CSDE1,5.13,2.26,0.548545454,1.865093867
PDZD8_HUMAN,PDZD8,8.53,2.92,0.546428732,1.724411695
PAIRB_HUMAN,SERBP1,3.27,1.81,0.543414697,1.576687513
TTC28_HUMAN,TTC28,5.85,2.42,0.53939292,2.089204272
LBR_HUMAN,LBR,3.36,1.83,0.536567864,-1.175867633
UBP30_HUMAN,USP30,2.58,1.61,0.536033842,1.343720298
C2CD5_HUMAN,C2CD5,5.99,2.45,0.534045915,1.316210597
MYO9B_HUMAN,MYO9B,6.77,2.6,0.533756466,1.724522189
ACACB_HUMAN,ACACB,11.24,3.35,0.532747191,2.085911865
PRC2C_HUMAN,PRRC2C,8.16,2.86,0.531242905,2.029544914
SRRM2_HUMAN,SRRM2,7.46,2.73,0.528760685,2.09487458
MICU2_HUMAN,MICU2,14.61,3.82,0.527793165,0.889634654
SPICE_HUMAN,SPICE1,7.77,2.79,0.519942211,1.650035294
NGAP_HUMAN,RASAL2,4.77,2.18,0.517737701,1.665096043
RL27_HUMAN,RPL27,3.37,1.83,0.516840258,1.293637738
SPD2B_HUMAN,SH3PXD2B,1.39,1.18,0.515944839,1.151011545
SLIK5_HUMAN,SLITRK5,4.21,2.05,0.515661084,1.505416018
SMC4_HUMAN,SMC4,1.07,1.03,0.515368708,-1.851371405
ACSL3_HUMAN,ACSL3,3.82,1.95,0.515364879,1.556797951
MCL1_HUMAN,MCL1,2.08,1.44,0.514569162,-1.143350325
SR140_HUMAN,U2SURP,26.43,5.14,0.512614305,1.229664605
BOP1_HUMAN,BOP1,2.35,1.53,0.511784352,1.24714711
RL10_HUMAN,RPL10,5.57,2.36,0.506951599,0.475538206
PLST_HUMAN,PLS3,0.92,0.96,0.505535393,-1.130487934
EPS15_HUMAN,EPS15,3.93,1.98,0.503849266,1.25373003
SERA_HUMAN,PHGDH,0.77,0.88,0.50371122,-1.22553072
TAOK2_HUMAN,TAOK2,5.22,2.29,0.503411632,1.538044959
BPL1_HUMAN,HLCS,3.28,1.81,0.502177518,1.271443505
CNN3_HUMAN,CNN3,3.87,1.97,0.499450979,1.474465088
KAISO_HUMAN,ZBTB33,1.83,1.35,0.499070356,0.934494414
RAGP1_HUMAN,RANGAP1,1.13,1.06,0.496711914,-1.965076531
RACK1_HUMAN,RACK1,0.69,0.83,0.495123217,-1.438202876
RENT1_HUMAN,UPF1,0,0,0.494941614,-1.176741582
DVL1_HUMAN,DVL1,6.03,2.46,0.492193763,1.191010865
C2D1A_HUMAN,CC2D1A,0,0,0.491970847,-0.869877977
EPHA2_HUMAN,EPHA2,0,0,0.491018482,0.658033959
ARMX3_HUMAN,ARMCX3,3.91,1.98,0.489537176,1.491321864
ATG2B_HUMAN,ATG2B,4.94,2.22,0.489231149,1.785136325
LRBA_HUMAN,LRBA,7.17,2.68,0.489149071,2.009877031
KPCL_HUMAN,PRKCH,0,0,0.486980805,0.421803468
SC24A_HUMAN,SEC24A,0,0,0.482504406,0.667518652
LAR4B_HUMAN,LARP4B,0,0,0.481731073,0.601619768
NRDE2_HUMAN,NRDE2,1.02,1.01,0.48139342,-1.450251357
HBS1L_HUMAN,HBS1L,3.26,1.81,0.478798358,1.2979985
CRKL_HUMAN,CRKL,5.1,2.26,0.478109556,1.013637879
APBB1_HUMAN,APBB1,2.35,1.53,0.477963886,1.334424433
SYNJ1_HUMAN,SYNJ1,14.38,3.79,0.477652156,1.512681037
RRP1B_HUMAN,RRP1B,6.04,2.46,0.477305369,0.684226294
B2L13_HUMAN,BCL2L13,4.96,2.23,0.472568363,0.85456042
CRK_HUMAN,CRK,3.99,2,0.471442142,0.907441025
ZCCHV_HUMAN,ZC3HAV1,7.81,2.79,0.471413638,1.266672782
RS26_HUMAN,RPS26,2.71,1.65,0.471242482,0.526662767
AHNK_HUMAN,AHNAK,14.89,3.86,0.470688795,1.533697464
HS71B_HUMAN,HSPA1B,0,0,0.469837728,-0.862841972
RRP44_HUMAN,DIS3,0,0,0.469808305,0.994146167
CCD47_HUMAN,CCDC47,2.55,1.6,0.469240313,-1.344528234
SRC8_HUMAN,CTTN,4.96,2.23,0.469109525,1.145114371
RS27L_HUMAN,RPS27L,0,0,0.468964013,-1.668425794
AGAP3_HUMAN,AGAP3,3.78,1.94,0.468555144,1.245527016
LAT1_HUMAN,SLC7A5,4.69,2.16,0.468468947,1.379406227
VP13B_HUMAN,VPS13B,0.94,0.97,0.468022365,-1.129401225
GDS1_HUMAN,RAP1GDS1,30.93,5.56,0.468014605,2.203730409
CK098_HUMAN,C11orf98,0.94,0.97,0.467899769,0.981321755
SC6A9_HUMAN,SLC6A9,0,0,0.466164416,0.745541387
RT12_HUMAN,MRPS12,7.61,2.76,0.465509734,1.411965928
BBX_HUMAN,BBX,3.81,1.95,0.463872483,1.574715944
YKT6_HUMAN,YKT6,4.15,2.04,0.463771765,0.525924563
RM34_HUMAN,MRPL34,7.12,2.67,0.463549841,1.269048007
RBM25_HUMAN,RBM25,0,0,0.461918806,-1.284322379
YETS2_HUMAN,YEATS2,1.12,1.06,0.460647721,-1.492259056
EPN4_HUMAN,CLINT1,3.82,1.95,0.460569723,1.34773264
AAK1_HUMAN,AAK1,1.03,1.02,0.457542071,1.013900337
RANG_HUMAN,RANBP1,3.78,1.94,0.457200695,1.596748892
ZNT1_HUMAN,SLC30A1,0,0,0.454596414,0.891437291
STMN1_HUMAN,STMN1,3.19,1.79,0.453365247,1.091414626
ZN598_HUMAN,ZNF598,2.81,1.68,0.453362334,1.253977854
H4_HUMAN,HIST1H4A,3.64,1.91,0.453044964,1.215585577
PA24A_HUMAN,PLA2G4A,1.08,1.04,0.452380398,-1.080633967
IF4H_HUMAN,EIF4H,4.17,2.04,0.450972567,1.190599753
RPGF6_HUMAN,RAPGEF6,8.07,2.84,0.450638322,1.48773786
ZMYM1_HUMAN,ZMYM1,6.14,2.48,0.450267953,1.398552949
MRE11_HUMAN,MRE11,4.65,2.16,0.449465537,0.930359415
FND3A_HUMAN,FNDC3A,2.67,1.63,0.446993064,-1.507094605
HELLS_HUMAN,HELLS,0,0,0.446530671,-1.227681598
PRP6_HUMAN,PRPF6,9.87,3.14,0.445200276,1.4436598
TCPE_HUMAN,CCT5,0,0,0.44443712,-1.043784651
SELB_HUMAN,EEFSEC,0,0,0.444146476,-1.35520983
PRP8_HUMAN,PRPF8,3.13,1.77,0.443340907,-1.189750851
H14_HUMAN,HIST1H1E,20.33,4.51,0.44104672,0.776569019
SCYL2_HUMAN,SCYL2,3.65,1.91,0.439786496,1.535117839
ENPL_HUMAN,HSP90B1,3.12,1.77,0.438739506,1.21097849
RBP2_HUMAN,RANBP2,8.43,2.9,0.438174991,1.759035722
PROF1_HUMAN,PFN1,2.82,1.68,0.435771421,1.200415089
RAF1_HUMAN,RAF1,0,0,0.431125835,0.525340458
ESYT2_HUMAN,ESYT2,4.3,2.07,0.428526347,1.128650845
PRKDC_HUMAN,PRKDC,9.65,3.11,0.426687954,1.059876436
BAX_HUMAN,BAX,3.72,1.93,0.426385596,1.389081151
EP15R_HUMAN,EPS15L1,4.42,2.1,0.425920533,1.268398993
GOGB1_HUMAN,GOLGB1,12.15,3.49,0.425102758,1.594727078
SC61B_HUMAN,SEC61B,0,0,0.424816439,-1.249411781
TERA_HUMAN,VCP,2.36,1.54,0.424163919,0.798295723
H31_HUMAN,HIST1H3A,0,0,0.424114562,-1.306103904
G3P_HUMAN,GAPDH,5.25,2.29,0.422016623,1.303709198
PICAL_HUMAN,PICALM,7.59,2.76,0.421660929,-0.759036862
NUCL_HUMAN,NCL,4.03,2.01,0.419971583,1.378193885
RL15_HUMAN,RPL15,2.23,1.49,0.418460484,0.760539013
MCM3_HUMAN,MCM3,0.76,0.87,0.417188201,-0.919871456
RL28_HUMAN,RPL28,3.59,1.89,0.416110756,0.599621179
THIO_HUMAN,TXN,0,0,0.414891029,-0.777990689
RHG35_HUMAN,ARHGAP35,0,0,0.412917145,-1.280496681
NOG1_HUMAN,GTPBP4,3.49,1.87,0.412690685,1.420896806
C1QBP_HUMAN,C1QBP,0,0,0.412611638,-0.726120619
SPB1_HUMAN,FTSJ3,5.26,2.29,0.412153739,0.844559436
UBP15_HUMAN,USP15,4.77,2.18,0.412054182,1.572207901
RS9_HUMAN,RPS9,3.59,1.89,0.412044562,1.151738473
THOC2_HUMAN,THOC2,8.05,2.84,0.411535005,1.295945389
RIOK1_HUMAN,RIOK1,5.16,2.27,0.409367375,0.793549088
NPL4_HUMAN,NPLOC4,0,0,0.407689733,-1.158354609
SCFD1_HUMAN,SCFD1,1.79,1.34,0.407669801,0.644338428
MAGD1_HUMAN,MAGED1,6.66,2.58,0.407062897,0.762749474
GAK_HUMAN,GAK,0,0,0.405976228,-1.122175529
LAS1L_HUMAN,LAS1L,1.38,1.18,0.40499408,0.852419559
RS5_HUMAN,RPS5,1,1,0.402451427,-1.219278444
VCIP1_HUMAN,VCPIP1,5.08,2.25,0.400562166,1.684359676
SYEP_HUMAN,EPRS,1.09,1.04,0.399490735,-1.273800664
RAC1_HUMAN,RAC1,0,0,0.398536688,2.022199211
RL37_HUMAN,RPL37,6.23,2.5,0.397565274,-1.026555799
FKBP8_HUMAN,FKBP8,3.21,1.79,0.396519557,0.753876416
NOM1_HUMAN,NOM1,4.57,2.14,0.39629123,0.936905111
MDHM_HUMAN,MDH2,0,0,0.395994299,-0.829066343
ARF1_HUMAN,ARF1,2.72,1.65,0.394643463,0.673998875
R39L5_HUMAN,RPL39P5,0,0,0.394180364,1.053486014
HELZ_HUMAN,HELZ,1.82,1.35,0.394135207,1.042566515
HYOU1_HUMAN,HYOU1,4.17,2.04,0.391932586,-0.682609162
DOCK7_HUMAN,DOCK7,1.92,1.39,0.390621356,-1.951954464
COPG2_HUMAN,COPG2,4.22,2.05,0.390458798,1.243493194
RL24_HUMAN,RPL24,4.65,2.16,0.390240418,0.439255037
ERC6L_HUMAN,ERCC6L,3.96,1.99,0.389474023,-1.366682041
RL29_HUMAN,RPL29,2.51,1.59,0.38918909,0.590487054
TMF1_HUMAN,TMF1,7.77,2.79,0.387241006,1.136311009
BRAP_HUMAN,BRAP,1.09,1.04,0.385627729,-0.857373364
,,,,,
GRDN_HUMAN,CCDC88A,0.76,0.87,0.381613744,-1.097329074
RRBP1_HUMAN,RRBP1,1.28,1.13,0.381413512,-1.800533019
TXNL1_HUMAN,TXNL1,4.94,2.22,0.380793741,1.181115072
PRDX3_HUMAN,PRDX3,4.87,2.21,0.380563993,0.91091126
EMSY_HUMAN,EMSY,16.02,4,0.380251744,1.241898507
RIF1_HUMAN,RIF1,1.25,1.12,0.380241133,0.694252686
MYO1E_HUMAN,MYO1E,0,0,0.379501809,-0.671887752
LRRF1_HUMAN,LRRFIP1,0,0,0.37936043,0.800710822
TIM50_HUMAN,TIMM50,0.77,0.88,0.377017583,-0.93418456
CIP2A_HUMAN,CIP2A,5.08,2.25,0.376523137,1.206060542
DDX24_HUMAN,DDX24,3.08,1.75,0.376105168,-1.228898078
TOIP1_HUMAN,TOR1AIP1,3,1.73,0.375556232,0.860033683
PYC_HUMAN,PC,17.86,4.23,0.375520842,0.627829138
LDHB_HUMAN,LDHB,2.41,1.55,0.375333422,1.044697288
RABL3_HUMAN,RABL3,0.7,0.84,0.371719513,1.133875325
ADDG_HUMAN,ADD3,1.7,1.3,0.371681772,0.970723098
CISD2_HUMAN,CISD2,3.69,1.92,0.370566882,1.076456694
VP13D_HUMAN,VPS13D,9.97,3.16,0.369929961,1.556616273
DDX21_HUMAN,DDX21,6.75,2.6,0.369813357,0.457035137
KNOP1_HUMAN,KNOP1,1.87,1.37,0.36820696,-0.996901434
AFG32_HUMAN,AFG3L2,3.06,1.75,0.367843153,-1.146578759
SAR1B_HUMAN,SAR1B,0,0,0.367030288,0.755827478
NOG2_HUMAN,GNL2,1.42,1.19,0.364610504,-1.14874841
