Gene,log2_FoldChange,minus_log10_pvalue
INSM1,0.5511,2.013183495
C14orf149,-0.5111,1.989700043
MFGE8,-0.6672,1.995248844
CEACAM1,-0.981,1.996970529
PLEKHA4,-0.8802,1.990974258
MERTK,-0.7662,2.002351545
Mar-04,0.6728,1.987162775
GBX2,0.8828,1.990549104
SDC4,-0.6983,2.00515515
ITGA9,-0.944,1.996539468
SCN5A,-0.9351,1.991825816
MFI2,-0.8345,1.988852639
RAB11FIP1,-0.7027,1.985899678
TPD52,-0.7816,1.990124366
KIAA2022,0.5636,1.993962045
TCEAL6,0.8956,1.993106292
MORC4,-0.9271,1.987162775
POC1B,-0.3673,1.982132281
MRC2,-0.6332,1.983384452
KCTD6,-0.3616,1.977571629
MEX3A,0.3088,1.972650392
ACTN1,-0.7487,1.974284616
TICAM1,-0.8589,1.974284616
NPC2,-0.6069,1.967381239
COL6A6,-0.969,1.968187729
ZC3HAV1,-0.6569,1.969400278
OAF,-0.7698,1.960189446
RNASE4,-0.9059,1.960189446
CYBASC3,-0.4846,1.958607315
CSRNP1,-0.5808,1.956244873
HLA-B,-0.868,1.952335805
ZNF689,0.2551,1.948847478
SP9,0.9371,1.9476909
WASF2,-0.6745,1.943095149
SLFN12,-0.9886,1.942714356
FLNA,-0.614,1.940815382
FREM2,-0.9473,1.937794191
PDIA3P,-0.3457,1.92628165
GAS2L2,0.9302,1.92628165
FERMT1,-0.9868,1.925549281
SEC14L6,-0.9848,1.923359556
CSPG5,0.6937,1.925915311
C7orf41,0.3768,1.924453039
MYBL1,-0.5962,1.925183559
HJURP,-0.8059,1.920095532
SH3BP5L,0.2129,1.906228219
DDN,0.7147,1.90517962
RAB35,0.2403,1.906578315
RBPMS2,-0.6679,1.909389292
MYLK3,0.8447,1.90868484
ZFYVE20,0.2118,1.91150953
ACSL6,0.6116,1.912218582
PCDHGB1,-0.8347,1.912218582
SYNPO,-0.9788,1.906228219
ARHGAP17,-0.3736,1.898252926
ETFB,0.505,1.898252926
CRYBA4,-0.9657,1.898252926
F2RL2,-0.9768,1.90274269
STOM,-0.743,1.898252926
C15orf59,0.6647,1.893809103
NCAN,0.5804,1.894830572
GPC4,-0.7703,1.893809103
DES,-0.9714,1.890759031
LEPREL2,-0.7969,1.888401475
GRIN2A,0.6614,1.885389016
FAM84B,0.6649,1.885722703
CCND1,-0.5753,1.881735274
SEPN1,-0.3657,1.877784122
CGN,-0.7533,1.875169851
BAG5,0.2349,1.876801925
WWC2,-0.4373,1.875169851
ANO6,-0.5992,1.86998805
FZD4,-0.8521,1.867420152
DIAPH3,-0.7778,1.864231485
RUNX1,-0.9599,1.862013267
NTS,0.8462,1.858550227
TBC1D8B,-0.9647,1.859806321
GP5,-0.9553,1.856360765
ZNF547,0.5118,1.854492829
B2M,-0.7496,1.850165303
GPANK1,0.3544,1.850165303
MYCL1,0.564,1.848017605
C15orf42,-0.7478,1.845576027
PTP4A3,-0.6072,1.843148099
TGFB1I1,-0.8773,1.840733669
PTGDR2,-0.9554,1.832682665
RARG,-0.9358,1.835944708
RAB34,-0.8674,1.835944708
DSC2,-0.6871,1.832682665
FZD5,-0.654,1.830325566
KLHL18,0.249,1.83386603
PCDHGB5,-0.956,1.830619505
EFNA1,-0.7949,1.827397069
KIAA0087,0.9528,1.827397069
AURKA,-0.652,1.822175028
GAL3ST3,0.4134,1.820735536
WNT7A,0.7548,1.819587367
C10orf105,0.8882,1.815876646
TUBA1C,-0.6215,1.815024809
ADAMTS9,-0.8947,1.81417464
PNMA2,0.4278,1.817015033
MAN1C1,-0.5596,1.80161787
CDC20,-0.7767,1.80631897
PACSIN3,-0.8907,1.808828544
PTHLH,-0.9265,1.803547458
DAZL,-0.9135,1.803547458
SRA1,0.3041,1.807153885
ARPC1B,-0.6737,1.801342913
IMMP2L,-0.4426,1.807153885
ROR2,-0.9148,1.801893001
PIEZO1,-0.7733,1.798602876
SOCS3,-0.9404,1.795608668
LOC150568,0.8026,1.795608668
RASL12,-0.8837,1.793443956
SATL1,0.8447,1.791021483
C1orf27,-0.3158,1.789413975
TMEM198,0.4547,1.783306401
MYOT,-0.928,1.783834098
PLAU,-0.8276,1.781202002
GPC6,-0.5345,1.779368981
COPZ2,-0.9194,1.779630368
MTHFR,0.2998,1.762205007
PARD3,-0.3704,1.762959209
PDIA3,-0.3509,1.767512134
TPM1,-0.7177,1.76674999
PRC1,-0.5474,1.764976841
PLK1,-0.6854,1.776763727
PIEZO2,-0.8503,1.769806621
ZNF90,-0.7327,1.772113295
GALP,0.8155,1.771343042
LOC440905,-0.8935,1.77702355
RFTN1,-0.8999,1.775466937
TMEM196,0.7006,1.769295686
NOD1,-0.5152,1.767766479
GLI3,-0.8242,1.770574152
WBSCR27,-0.9343,1.764976841
C7orf34,0.9318,1.76421913
FRRS1,-0.8998,1.751046385
FAM19A3,-0.8923,1.747632486
CNIH3,-0.4817,1.74860515
MDK,-0.7156,1.757210191
GXYLT1,-0.6944,1.748848657
CTDSP2,-0.5123,1.75325529
SIX4,-0.8657,1.74860515
SLCO3A1,0.4415,1.74860515
PTBP1,-0.4376,1.749579998
ZNF324,0.3139,1.755970411
COLEC11,-0.9194,1.750557039
APOBEC3B,-0.9292,1.751781439
MAGEF1,0.3826,1.752517739
SHROOM2,0.5668,1.753747688
KIAA1217,-0.7442,1.727926212
ST8SIA1,0.3806,1.728390699
LOC338758,0.6997,1.736600669
LOC283731,-0.4064,1.727694156
LYSMD4,0.4181,1.73072061
CYP1B1,-0.9248,1.736600669
PDGFRB,-0.9184,1.732124581
FKBP5,-0.7347,1.734946211
AGBL3,0.5843,1.730253627
MNX1,0.921,1.729554092
PHKA2,-0.4551,1.731656086
CCBL2,-0.3365,1.723078868
CLIC5,-0.9123,1.72514968
WDR67,-0.3832,1.7242281
SLC38A5,-0.7194,1.722390786
KLF4,-0.8767,1.719649307
HSD17B11,-0.6032,1.716698771
SLC2A3,-0.5111,1.714442691
CSDAP1,-0.7114,1.710857164
SBNO2,-0.3452,1.708853238
LRRC4C,0.5704,1.707300997
ATL3,-0.5278,1.7044329
C1S,-0.9056,1.706416487
PLAUR,-0.8162,1.704652852
LOC256021,0.6774,1.70158362
EID2B,0.4332,1.701802133
MTA3,-0.4227,1.697020063
BSG,-0.2869,1.694004117
LAMP2,-0.2974,1.694218849
ATHL1,-0.9069,1.691862621
AHNAK,-0.7987,1.689519109
IGFBP5,-0.9055,1.691435586
MBOAT1,-0.7067,1.689519109
EGFR,-0.6912,1.688670048
FRAT1,0.4904,1.683400698
TBX10,-0.9015,1.681102285
KCNA6,0.4245,1.684449466
MATN3,-0.8883,1.682145511
LTBP1,-0.8212,1.68172792
SCARF2,-0.7426,1.685290307
BAI3,0.3512,1.680893941
LOC654433,0.828,1.678608722
GTSE1,-0.5797,1.676541633
SCRG1,-0.9048,1.676541633
AHCY,-0.5073,1.675511767
LRRTM3,0.609,1.67325462
MYO1C,-0.7078,1.673459331
AKR1E2,0.7441,1.670805585
PCDHGB4,-0.8844,1.669180534
P2RX4,-0.3807,1.665747358
LINC00574,0.7267,1.665345233
BPI,-0.8613,1.663340177
ATP2B2,0.751,1.664141089
CDCA2,-0.6352,1.661543506
FGF8,-0.8835,1.659357622
FAM198A,-0.8977,1.65915945
FMO2,-0.8029,1.653647026
LOC642852,0.5471,1.654626269
IGF2R,-0.5322,1.652279783
TIGD3,0.6643,1.650528201
GFPT2,-0.6006,1.649558143
BCAS2,0.3073,1.644740094
IQGAP3,-0.7145,1.64320954
ZDHHC20,-0.3828,1.644740094
ARID4A,0.2039,1.64244628
SPHK1,-0.8455,1.647238808
FAM110C,-0.7952,1.646083769
PXDN,-0.7352,1.643018599
THSD7B,-0.5467,1.64435695
PRUNE,0.2438,1.639785387
ECE1,-0.7102,1.636200055
CECR7,0.8781,1.636764196
HTRA3,-0.8843,1.637706062
WDR47,0.4054,1.630784143
SLITRK5,0.4093,1.629857153
AURKB,-0.6811,1.629116983
IGFBP4,-0.8858,1.628562683
CDC25C,-0.6363,1.629301907
GPM6A,0.649,1.627640417
BTBD19,-0.7584,1.624153564
GPR26,0.7615,1.621965678
SIAH3,0.7351,1.621057301
PLCB2,-0.8363,1.622511617
DNM1P35,0.6404,1.62178385
RRBP1,-0.8115,1.623423043
ACOT8,0.3293,1.624336386
OLFML2B,-0.8708,1.617262734
TROAP,-0.7143,1.61780279
WIPI1,-0.6362,1.61780279
VOPP1,0.2574,1.615825861
HES1,-0.5633,1.613322716
FIBIN,-0.8826,1.611898798
KDELC2,-0.8298,1.611011215
ERRFI1,-0.5181,1.604498876
ZNF26,0.2525,1.603800653
RAB20,-0.7225,1.60292945
CEP112,-0.5528,1.602755419
PDYN,0.8461,1.604324215
SEL1L3,-0.794,1.603800653
CENPE,-0.581,1.606600305
LOC100505695,-0.8418,1.601018933
ST3GAL6,0.3335,1.599462011
PPPDE1,-0.3884,1.59311933
CYFIP1,-0.4708,1.593630165
SPAG5,-0.6341,1.597738618
FSTL3,-0.3936,1.594482893
DKKL1,-0.5961,1.592609096
PLA2R1,-0.8383,1.59636481
SH3RF2,-0.8594,1.59465364
NEDD9,-0.5615,1.595679533
LOC400940,0.7406,1.589560214
NPR2,-0.6064,1.589222767
CKS1B,-0.6537,1.582196277
RNASEL,0.8586,1.579879152
KIAA1462,-0.8624,1.578231599
C10orf2,0.3805,1.582030358
PRKCDBP,-0.8186,1.581036169
ZNF564,0.3025,1.585360853
LOC100506421,0.6526,1.584859648
SNED1,-0.8004,1.583193128
SGMS2,-0.8683,1.578725209
TMEM151B,0.4716,1.57921938
LOC100507341,0.6623,1.581367313
KIF2C,-0.6374,1.574139855
PRX,-0.6445,1.572513891
LOXL4,-0.8597,1.570893992
STXBP6,0.6668,1.570409198
FAM13A,-0.4611,1.566710315
IFITM10,0.6685,1.561615893
CBFB,-0.3576,1.563042669
DKFZp566F0947,-0.8205,1.562883907
MAGI2,0.4314,1.562090964
NIPAL2,-0.7441,1.562249437
GPRASP2,0.4453,1.563519305
DPH3P1,-0.5664,1.556893543
C1orf54,-0.5484,1.552686891
LIG4,0.3168,1.551139154
GREM1,-0.8574,1.551757587
TPM4,-0.6659,1.552841969
OSBPL10,-0.7943,1.554551486
HPS3,-0.3542,1.550984684
ANP32B,-0.4906,1.548981548
FAM176B,-0.6818,1.527828853
HPCAL4,0.5034,1.533577278
LEPRE1,-0.7027,1.503485481
MCOLN3,-0.7816,1.543482142
GBP3,-0.8426,1.511167366
SELENBP1,-0.7428,1.521000868
LMNA,-0.499,1.500175504
KCNJ9,0.7358,1.537003388
CENPL,-0.3831,1.541513236
KIF14,-0.6281,1.482804102
EIF2D,-0.4348,1.529736553
CAPN2,-0.3726,1.526805091
RGR,0.8449,1.506123889
EFCAB4A,-0.6655,1.518414064
TPP1,-0.3513,1.505706231
MICAL2,-0.85,1.527828853
C11orf94,0.8245,1.485319456
NADSYN1,-0.3401,1.487715937
FOXM1,-0.5518,1.532096053
SLC38A1,0.3146,1.517698233
ANKS1B,0.6226,1.490663042
GJB6,-0.7271,1.512296137
ANG,-0.7201,1.525201181
DLGAP5,-0.6065,1.485319456
FAM161B,0.3957,1.527536103
SERPINA5,-0.831,1.521722168
RASGRP1,-0.4108,1.530767257
THBS1,-0.85,1.519993057
ST8SIA2,0.4492,1.502103257
RPS2,-0.4238,1.512296137
ITPRIPL2,-0.854,1.542269452
NFATC3,-0.4057,1.533428928
PLD2,-0.669,1.487849463
SMCR7,0.3445,1.523458191
SMARCD2,-0.6611,1.500450374
TUBB6,-0.7194,1.507239611
DSG2,-0.6812,1.491335637
ACAA2,-0.446,1.49757288
GADD45B,-0.8334,1.484126156
CELF5,0.4393,1.495801081
TMEM221,-0.7671,1.494578672
WDR62,-0.5769,1.527975302
ZNF570,0.2708,1.530325227
SPRED3,0.6054,1.501138311
RPL13A,-0.6422,1.500725418
BCL2L12,-0.4817,1.540155358
CENPA,-0.6156,1.493089274
MTHFD2,-0.7685,1.511872504
FAM176A,-0.8313,1.516412703
GCFC2,-0.344,1.525492361
CAPG,-0.8383,1.528708289
EDAR,-0.846,1.508778424
BUB1,-0.5945,1.530767257
ZRANB3,-0.5034,1.516127546
SLC4A10,0.725,1.483200296
WIPF1,-0.555,1.545765104
CCDC141,-0.8347,1.530030791
CCDC150,-0.5535,1.497163361
ASXL1,-0.4027,1.510604078
SS18L1,0.3675,1.510744832
C22orf29,0.2474,1.489053051
SMCR7L,0.1929,1.520568663
GRIP2,0.8047,1.512578789
GPR62,0.808,1.483729117
MITF,-0.7604,1.520136887
FDCSP,-0.8326,1.503485481
ANXA2P1,-0.6149,1.492144128
LHFPL2,-0.7202,1.507099989
ERAP1,-0.4938,1.499763525
MXD3,-0.6781,1.523168371
TEAD3,-0.7435,1.538651566
SP4,0.3326,1.483596852
TRIL,-0.7788,1.511449283
STK17A,-0.3401,1.537751785
RARRES2,-0.844,1.523313257
CHMP7,0.283,1.507938395
ZNF703,-0.6856,1.500038134
ST18,0.5283,1.505428016
LOC100132891,-0.7824,1.507099989
C8orf84,-0.7652,1.497163361
ZFHX4,0.4288,1.516555352
GDF6,-0.8041,1.489320969
RANBP6,0.3012,1.498803758
FAM189A2,-0.8114,1.484126156
TNC,-0.8197,1.491470281
ZBTB6,0.3295,1.527536103
RPL12,-0.5342,1.531209738
GBGT1,-0.8343,1.513286224
ARHGAP6,-0.8167,1.488919154
SHROOM4,-0.645,1.486382926
HDX,0.4208,1.485585079
COL4A5,-0.7708,1.48691564
GAB3,-0.7788,1.507658747
B3GALNT2,-0.5213,1.478600372
ZNF142,0.2381,1.479647496
HEXB,-0.4081,1.478469659
PPP1R3G,-0.8344,1.479647496
MDFIC,-0.6575,1.478338985
RXFP3,0.832,1.476773958
PTTG3P,-0.6051,1.477164686
C1orf133,-0.7152,1.471726223
TP53I13,-0.422,1.471211808
SLC44A3,-0.7081,1.463694128
C1orf115,-0.6315,1.462684727
ANO4,-0.7486,1.463820468
FNIP2,0.2913,1.462936857
CRHBP,-0.8231,1.463820468
KIAA0368,-0.3228,1.463441557
PLCE1,-0.7467,1.457050151
PARPBP,-0.5436,1.458420756
FRMD6,-0.7527,1.457423524
LIN7B,0.5171,1.460422117
COL4A3BP,-0.5851,1.460672936
SCML4,0.7487,1.459295217
ZNF815,0.3814,1.457299031
DIRAS2,0.4271,1.459170186
SULT1A1,-0.7929,1.455435903
ADAMTS9-AS2,-0.7074,1.454940415
CHTOP,0.2474,1.453333975
DKK2,-0.8042,1.451733455
HIST1H1D,-0.8219,1.450874073
CDK1,-0.5524,1.442613118
SHISA2,-0.8216,1.442974278
GJD2,0.6358,1.442733471
CCNB2,-0.6054,1.446116973
OMG,0.805,1.447940466
MYL4,-0.7755,1.440691989
LOC100131096,-0.7581,1.43985416
HSPB6,-0.8208,1.448916135
STEAP3,-0.5503,1.444905551
OSGEPL1,0.2775,1.439973751
APOL4,-0.8187,1.445147566
BAP1,0.1786,1.442011852
PHLDB2,-0.8077,1.4405722
NAP1L5,0.4839,1.449282577
CFI,-0.7104,1.442492798
SORBS3,-0.6631,1.445268623
TOP1MT,-0.4407,1.44551084
OPLAH,-0.4763,1.437350328
ASAP3,-0.2714,1.421704695
TSG101,0.2283,1.42573717
CPT1A,-0.3581,1.4225082
GALNT6,-0.7937,1.422048872
KCNK10,0.5243,1.422278475
ISL2,0.8166,1.428990328
GOLGA6L10,0.8026,1.432620692
TMEM100,-0.8097,1.424927674
TBC1D16,0.2885,1.432738308
JUNB,-0.5495,1.427709394
ZNF614,0.2666,1.424581209
ZNF600,-0.742,1.42945706
TCF7L1,-0.5031,1.42400438
ACOX2,-0.7993,1.434388275
FAM107A,0.8057,1.431329022
FGFBP2,-0.7944,1.421246216
LOC644100,0.8085,1.426200418
CPEB4,0.477,1.431329022
GUCA1A,0.4614,1.42666416
CALD1,-0.7359,1.431329022
EPHB6,0.6366,1.426200418
PENK,-0.8034,1.435452288
TMEM74,0.5734,1.431329022
RPS6,-0.5392,1.421934116
OLFML2A,-0.6171,1.426548178
PLP2,-0.6977,1.436044535
VASH1,0.3249,1.420330706
GRIP1,0.4312,1.41930306
PDE1A,0.6831,1.417482116
PKD2,-0.5166,1.417482116
C14orf39,-0.7682,1.415781888
SCPEP1,-0.6581,1.415668776
CTNNA3,-0.8021,1.408490191
LTBP3,-0.6738,1.408045445
TRAFD1,0.1378,1.411168274
HAUS4,-0.5229,1.406935568
ADSSL1,-0.5,1.412962882
ZKSCAN2,0.3948,1.407601154
SLC39A3,0.3176,1.410385459
NTF4,-0.8096,1.414313722
MORC2,0.1997,1.410608977
GNL1,0.262,1.40882405
ANKS1A,0.4512,1.41128022
BMP1,-0.4547,1.407379179
TCEAL8,-0.6073,1.413637777
MBNL3,-0.7198,1.409715596
RND1,0.5434,1.40560745
DNAJC3,-0.3772,1.403183064
TMEM121,0.7264,1.40263395
CHEK2,-0.5046,1.403952992
PALLD,-0.4758,1.402963335
SPOCD1,-0.7888,1.399135964
NCDN,0.3799,1.399462706
CHD1L,-0.3283,1.400226061
RPP25,0.6103,1.400007822
IMPA2,-0.5937,1.400335221
CHRNB2,0.6312,1.397722916
LAYN,-0.8004,1.397831449
PKNOX2,0.4366,1.396639076
ANXA2,-0.6618,1.394264106
VGLL3,-0.7837,1.394479477
RASL11B,-0.7901,1.394156461
C3orf58,-0.5738,1.392974122
HIRIP3,0.2689,1.392437757
ZNF696,0.2746,1.391153178
DDX12P,-0.7561,1.387110231
TANC1,-0.7275,1.387640052
CDH10,0.3894,1.387004344
VCAN,-0.4669,1.389765825
GBX1,0.7181,1.388489113
REEP4,-0.3465,1.387216143
TLN1,-0.6431,1.388595362
EDN2,-0.7986,1.379447555
PHGDH,-0.4932,1.367239112
ANXA2P3,-0.7386,1.365220542
LHPP,-0.4524,1.371713269
KIF18A,-0.5252,1.364114315
GRM5,0.5472,1.369775589
DNAJC22,-0.646,1.359617955
FARP1,-0.5856,1.35971737
MCF2L-AS1,0.5195,1.38007229
SERPINA3,-0.7546,1.363512104
C16orf45,0.2803,1.377268035
LOC100130950,0.5784,1.365321248
PIP4K2B,0.2446,1.35971737
STAT5A,-0.7565,1.37975981
GALR2,0.7862,1.360115258
CNN2,-0.5208,1.364415734
ATCAY,0.4928,1.362110183
STX10,-0.3474,1.38341947
CADM4,0.3511,1.368962303
ZNF223,0.3136,1.366430557
PDIA6,-0.3382,1.384470776
OTX1,0.7274,1.375099398
MLK7-AS1,-0.7914,1.360613131
CASP10,-0.7778,1.363512104
MAP2,0.4385,1.368150538
CYP27A1,-0.5402,1.379135525
PLK1S1,0.5187,1.375202421
